"Temperature","Date","Hour"
"67.9","2026-07-03","16:00:00.000Z"
"71.0","2026-07-03","17:00:00.000Z"
"74.4","2026-07-03","18:00:00.000Z"
"77.6","2026-07-03","19:00:00.000Z"
"80.1","2026-07-03","20:00:00.000Z"
"80.0","2026-07-03","21:00:00.000Z"
"77.1","2026-07-03","22:00:00.000Z"
"75.1","2026-07-03","23:00:00.000Z"
"73.5","2026-07-04","00:00:00.000Z"
"71.5","2026-07-04","01:00:00.000Z"
"70.8","2026-07-04","02:00:00.000Z"
"69.3","2026-07-04","03:00:00.000Z"
"68.8","2026-07-04","04:00:00.000Z"
"68.1","2026-07-04","05:00:00.000Z"
"67.2","2026-07-04","06:00:00.000Z"
"66.3","2026-07-04","07:00:00.000Z"
"65.4","2026-07-04","08:00:00.000Z"
"64.8","2026-07-04","09:00:00.000Z"
"64.7","2026-07-04","10:00:00.000Z"
"64.3","2026-07-04","11:00:00.000Z"
"64.3","2026-07-04","12:00:00.000Z"
"64.7","2026-07-04","13:00:00.000Z"
"65.4","2026-07-04","14:00:00.000Z"
"66.8","2026-07-04","15:00:00.000Z"
"69.5","2026-07-04","16:00:00.000Z"
"72.9","2026-07-04","17:00:00.000Z"
"75.5","2026-07-04","18:00:00.000Z"
"76.4","2026-07-04","19:00:00.000Z"
"76.3","2026-07-04","20:00:00.000Z"
"76.0","2026-07-04","21:00:00.000Z"
"75.7","2026-07-04","22:00:00.000Z"
"75.3","2026-07-04","23:00:00.000Z"
"74.4","2026-07-05","00:00:00.000Z"
"72.8","2026-07-05","01:00:00.000Z"
"70.8","2026-07-05","02:00:00.000Z"
"69.2","2026-07-05","03:00:00.000Z"
"68.3","2026-07-05","04:00:00.000Z"
"67.8","2026-07-05","05:00:00.000Z"
"67.4","2026-07-05","06:00:00.000Z"
"66.8","2026-07-05","07:00:00.000Z"
"66.4","2026-07-05","08:00:00.000Z"
"65.9","2026-07-05","09:00:00.000Z"
"65.2","2026-07-05","10:00:00.000Z"
"64.6","2026-07-05","11:00:00.000Z"
"64.3","2026-07-05","12:00:00.000Z"
"64.6","2026-07-05","13:00:00.000Z"
"65.3","2026-07-05","14:00:00.000Z"
"66.8","2026-07-05","15:00:00.000Z"
"69.8","2026-07-05","16:00:00.000Z"
"73.5","2026-07-05","17:00:00.000Z"
"76.2","2026-07-05","18:00:00.000Z"
"77.1","2026-07-05","19:00:00.000Z"
"77.1","2026-07-05","20:00:00.000Z"
"76.7","2026-07-05","21:00:00.000Z"
"76.4","2026-07-05","22:00:00.000Z"
"75.6","2026-07-05","23:00:00.000Z"
